empid,FirstName,LastName,gender,Job Title Description,Hire Date,Rehire Date,Termination Date,Termination Reason Description,City,State,Zip,Business Unit Code,Pay Frequency,BirthDate,RegularPayRate,Scheduled Hours,Pay Grade Description,FLSA Code,Protected Veteran Status,Voluntary Involuntary Termination Flag,Home Department Code,Standard Hours,Years of Service,Position Status,Location Code,isTerm_F,is90_Day_Rookie_F,isOneYear_Rookie_F
1,,,Male,LPN 8th Flr,9/11/17,NULL,NULL,,Rochester,NY,14612,1628,Weekly,1/1/90,,40,26,N,I am not a protected veteran,,162842,,"0 year, 5 months",Active,11000,0,0,0
2,,,Female,LPN 8th Flr,1/8/18,NULL,NULL,,Rochester,NY,14609,1628,Weekly,1/1/88,,16,26,N,I am not a protected veteran,,162842,,"0 year, 1 month",Active,11000,0,0,0
14,,,Female,C/O Waitstaff,10/6/17,NULL,NULL,,Rochester,NY,14617,4833,Weekly,1/1/00,,1,20,N,I am not a protected veteran,,482127,,"0 year, 4 months",Active,40000,0,0,0
20,,,Female,Director Billing & AR,1/5/15,NULL,NULL,,Henrietta,NY,14467,1862,Biweekly,1/1/70,,40,32,E,I am not a protected veteran,,183101,80,"3 year, 1 month",Active,11000,0,0,0
27,,,Female,CNA WTCC2,10/23/17,NULL,NULL,,Rochester,NY,14609,1615,Weekly,1/1/72,,37.5,22,N,I am not a protected veteran,,161257,,"0 year, 3 months",Active,16120,0,0,0
29,,,Female,SA Receptionist,2/19/07,NULL,NULL,,Rochester,NY,14626,1864,Weekly,1/1/48,,1,21,N,,,183816,,"10 year, 11 months",Active,11000,0,0,0
34,,,Female,Protective Svc Officer,10/17/16,NULL,NULL,,Rochester,NY,14621,1826,Weekly,1/1/91,,1,21,N,I am not a protected veteran,,182607,,"1 year, 3 months",Active,11000,0,0,0
37,,,Female,Nursing Supervisor,11/6/17,NULL,NULL,,Rochester,NY,14616,2600,Weekly,1/1/77,,1,32,N,I am not a protected veteran,,260402,,"0 year, 3 months",Active,20000,0,0,0
39,,,Female,Recreation Therapist,12/9/13,NULL,NULL,,Webster,NY,14580,1750,Weekly,1/1/72,,40,25,N,,,172602,,"4 year, 2 months",Active,11000,0,0,0
43,,,Female,Cook Assistant,8/24/15,NULL,NULL,,Rochester,NY,14609,1815,Weekly,1/1/90,,37.5,20,N,I am not a protected veteran,,182171,,"2 year, 5 months",Active,11000,0,0,0
44,,,Female,CNA 3rd Flr,9/11/17,NULL,NULL,,Rochester,NY,14605,1623,Weekly,1/1/88,,37.5,22,N,I am not a protected veteran,,162352,,"0 year, 5 months",Active,11000,0,0,0
45,,,Female,Dining Service Assistant,9/5/17,NULL,NULL,,Rochester,NY,14619,1800,Weekly,1/1/99,,16,20,N,I am not a protected veteran,,182176,,"0 year, 5 months",Active,11000,0,0,0
47,,,Female,RN WTCC3,11/26/12,NULL,NULL,,West Henrietta,NY,14586,1618,Weekly,1/1/63,,40,30,N,,,161337,,"5 year, 2 months",Active,16130,0,0,0
49,,,Male,Staff Pharmacist,3/28/11,NULL,NULL,,Rochester,NY,14612,1760,Biweekly,1/1/69,,40,37,E,,,172702,80,"6 year, 10 months",Active,11000,0,0,0
52,,,Male,CNA SCU,12/2/02,NULL,NULL,,Rochester,NY,14621,1616,Weekly,1/1/69,,37.5,22,N,,,160156,,"15 year, 2 months",Active,16010,0,0,0
55,,,Female,CNA WTCC2,8/5/13,NULL,NULL,,Rochester,NY,14613,1615,Weekly,1/1/83,,20,22,N,,,161257,,"4 year, 6 months",Active,16120,0,0,0
56,,,Male,CNA 6th Flr,6/15/15,NULL,NULL,,Rochester,NY,14616,1626,Weekly,1/1/91,,30,22,N,I am not a protected veteran,,162652,,"2 year, 8 months",Active,11000,0,0,0
57,,,Female,Food & Nutrition Admin Assist,3/20/00,NULL,NULL,,Rochester,NY,14624,1840,Weekly,1/1/56,,40,25,N,,,182106,,"17 year, 10 months",Active,11000,0,0,0
58,,,Female,TCC Dining Ambassador,8/26/02,NULL,NULL,,Rochester,NY,14626,1800,Weekly,1/1/56,,40,21,N,,,182176,,"15 year, 5 months",Active,11000,0,0,0
68,,,Male,Resident Account Rep,5/18/15,NULL,2/21/18,Another Job,Rochester,NY,14617,1862,Weekly,1/1/88,,40,25,N,I am not a protected veteran,,183106,,"2 year, 8 months",Active,11000,1,0,0
70,,,Female,CNA WTCC2,5/8/17,NULL,NULL,,Rochester,NY,14611,1615,Weekly,1/1/93,,40,22,N,I am not a protected veteran,,161257,,"0 year, 9 months",Active,16120,0,0,0
71,,,Female,Dining Service Assistant,1/8/18,NULL,1/22/18,Abandoned Job,Rochester,NY,14621,1813,Weekly,1/1/95,,37.5,20,N,I am not a protected veteran,Voluntary,182172,,"0 year, 0 month",Terminated,11000,1,1,1
74,,,Female,CNA SACC,7/24/17,NULL,NULL,,Webster,NY,14580,2600,Weekly,1/1/99,,37.5,22,N,I am not a protected veteran,,260405,,"0 year, 6 months",Active,20000,0,0,0
78,,,Male,Food Service Manager,1/5/15,NULL,NULL,,Rochester,NY,14618,1800,Biweekly,1/1/62,,40,29,E,,,182111,80,"3 year, 1 month",Active,11000,0,0,0
81,,,Female,Occupational Therapist,6/4/12,NULL,NULL,,Walworth,NY,14568,1734,Biweekly,1/1/89,,40,32,E,,,173402,80,"5 year, 8 months",Active,11000,0,0,0
83,,,Female,Retail Manager,7/17/14,NULL,NULL,,Phelps,NY,14532,1800,Biweekly,1/1/80,,40,29,E,,,182111,80,"3 year, 6 months",Active,11000,0,0,0
85,,,Female,LPN 6th Flr,3/14/16,NULL,NULL,,Rochester,NY,14621,1626,Weekly,1/1/90,,20,26,N,I am not a protected veteran,,162642,,"1 year, 11 months",Active,11000,0,0,0
89,,,Female,Per Diem Phys. Therapist,10/17/16,NULL,NULL,,Rochester,NY,14620,1733,Weekly,1/1/88,,1,74- Per Diem: PT/OT/Speech Path,N,I am not a protected veteran,,173302,,"1 year, 3 months",Active,11000,0,0,0
90,,,Female,CNA 7th Flr,1/8/18,NULL,NULL,,Rochester,NY,14624,1627,Weekly,1/1/97,,16,22,N,I am not a protected veteran,,162752,,"0 year, 1 month",Active,11000,0,0,0
93,,,Female,Per Diem Speech Path,7/28/14,NULL,NULL,,Farmington,NY,14425,1735,Weekly,1/1/88,,1,74- Per Diem: PT/OT/Speech Path,N,,,173502,,"3 year, 6 months",Active,11000,0,0,0
94,,,Male,CNA SACC,6/18/12,11/19/17,NULL,,Ontario,NY,14519,2600,Weekly,1/1/53,,16,22,N,I identify myself as one or more of the classifications of protected veteran,,260405,,"0 year, 2 months",Active,20000,0,0,0
95,,,Female,CNA 5th Flr,9/12/16,NULL,NULL,,rochester,NY,14612,1625,Weekly,1/1/85,,1,22,N,I am not a protected veteran,,162552,,"1 year, 5 months",Active,11000,0,0,0
98,,,Female,CNA LCC,2/24/86,5/17/98,NULL,,Rochester,NY,14611,1604,Weekly,1/1/35,,1,22,N,,,160415,,"19 year, 8 months",Active,16040,0,0,0
100,,,Female,HR Administrative Assistant,3/10/14,NULL,NULL,,Rochester,NY,14605,1852,Weekly,1/1/91,,40,25,N,,,183916,,"3 year, 11 months",Active,11000,0,0,0
101,,,Male,Laundry Worker,5/8/00,10/24/17,NULL,,Rochester,NY,14611,1825,Weekly,1/1/52,,8,20,N,,,182507,,"0 year, 3 months",Active,11000,0,0,0
103,,,Female,Nursing Supervisor,10/31/16,NULL,NULL,,Rochester,NY,14617,1601,Weekly,1/1/89,,1,32,N,I am not a protected veteran,,160103,,"1 year, 3 months",Active,11000,0,0,0
104,,,Female,LPN 9th Flr,11/14/05,NULL,NULL,,Rochester,NY,14609,1629,Weekly,1/1/81,,1,26,N,,,161642,,"12 year, 3 months",Active,11000,0,0,0
105,,,Female,CO Marketing Representative,9/11/17,NULL,4/20/18,Another Job,Webster,NY,14580,4846,Biweekly,1/1/60,,40,28,E,I am not a protected veteran,,483551,80,"0 year, 5 months",Active,40000,1,0,1
106,,,Female,CNA SACC,7/8/13,NULL,NULL,,rochester,NY,14609,2600,Weekly,1/1/88,,16,22,N,,,260405,,"4 year, 7 months",Active,20000,0,0,0
107,,,Female,PT Assistant,4/6/05,NULL,NULL,,Rochester,NY,14609,1733,Weekly,1/1/68,,40,27,N,,,173302,,"12 year, 10 months",Active,11000,0,0,0
108,,,Female,Occupational Therapist,6/4/12,NULL,NULL,,Williamson,NY,14589,1734,Biweekly,1/1/89,,40,32,E,,,173402,80,"5 year, 8 months",Active,11000,0,0,0
111,,,Female,LPN WTCC1,8/8/16,NULL,NULL,,Rochester,NY,14617,1614,Weekly,1/1/67,,40,26,N,I am not a protected veteran,,161147,,"1 year, 6 months",Active,16110,0,0,0
113,,,Male,Nursing Supervisor,8/22/11,NULL,NULL,,Rochester,NY,14624,2600,Weekly,1/1/54,,40,32,N,,,260402,,"6 year, 5 months",Active,20000,0,0,0
116,,,Female,Physical Therapist,8/28/00,NULL,NULL,,Williamson,NY,14589,1733,Biweekly,1/1/78,,37.5,32,E,,,173302,75,"17 year, 5 months",Active,11000,0,0,0
118,,,Female,LPN WTCC1,6/3/13,NULL,NULL,,Brockport,NY,14420,1614,Weekly,1/1/76,,40,26,N,,,161147,,"4 year, 8 months",Active,16110,0,0,0
121,,,Female,CNA 3rd Flr,6/5/17,NULL,NULL,,Rochester,NY,14616,1623,Weekly,1/1/97,,37.5,22,N,I am not a protected veteran,,162352,,"0 year, 8 months",Active,11000,0,0,0
122,,,Female,LPN 3rd Flr,8/7/17,NULL,NULL,,Rochester,NY,14609,1623,Weekly,1/1/92,,16,26,N,I am not a protected veteran,,162342,,"0 year, 6 months",Active,11000,0,0,0
127,,,Female,LPN SCU,7/17/06,NULL,NULL,,Gates,NY,14624,1616,Weekly,1/1/76,,40,26,N,,,160146,,"11 year, 6 months",Active,16010,0,0,0
